Checking Account,Duration,Credit History,Purpose,Credit Amount,Savings,Present Employment Time,Installment Rate,Personal Status,Guarantors,Residence Time,Property,Age,Other Plans,Housing,Existing Credits,Job,Num of People,Telephone,Foreign Worker,gender,labels
A11,11,A32,A40,4480,A61,A73,3,divorced/seperated/married,A101,2,A121,22,A143,A152,1,A173,1,A191,A201,female,0
A14,7,A33,A42,1370,A61,A71,3,single,A101,3,A123,22,A141,A152,1,A173,1,A192,A201,male,1
A11,17,A34,A49,1994,A61,A75,1,married/widowed,A101,1,A121,33,A141,A152,2,A174,1,A192,A201,male,1
A14,27,A32,A42,777,A61,A73,3,divorced/seperated,A101,3,A123,39,A143,A151,1,A173,1,A192,A201,male,1
A14,6,A30,A40,1666,A61,A75,3,married/widowed,A101,3,A121,33,A143,A152,1,A172,1,A191,A201,female,1
A14,34,A32,A49,1289,A64,A74,2,single,A101,3,A123,29,A143,A152,2,A173,1,A191,A201,male,1
A12,16,A32,A43,674,A61,A73,3,divorced/seperated/married,A103,2,A122,20,A143,A152,1,A173,1,A191,A201,female,1
A11,10,A32,A40,1938,A61,A73,3,divorced/seperated/married,A101,3,A121,23,A143,A152,1,A173,1,A191,A201,female,1
A11,4,A31,A40,715,A61,A73,1,divorced/seperated/married,A102,3,A121,32,A142,A152,1,A172,1,A191,A201,male,1
A11,21,A32,A43,1419,A61,A73,3,divorced/seperated/married,A101,2,A123,21,A143,A152,1,A173,1,A191,A201,female,0
A14,7,A32,A40,2429,A64,A75,1,divorced/seperated/married,A101,2,A121,32,A143,A152,1,A172,1,A192,A201,female,1
A14,16,A32,A42,1335,A62,A74,3,single,A101,3,A122,32,A141,A152,1,A173,1,A192,A201,male,1
A13,12,A32,A43,1897,A61,A73,3,single,A101,1,A123,22,A143,A152,1,A173,1,A192,A201,male,1
A11,5,A31,A40,1614,A61,A73,2,divorced/seperated,A101,3,A121,52,A142,A152,1,A174,1,A192,A201,male,1
A12,26,A32,A43,6144,A65,A72,1,divorced/seperated/married,A101,1,A124,40,A143,A153,1,A174,1,A191,A201,female,1
A14,24,A32,A43,978,A65,A75,3,single,A101,3,A124,37,A143,A152,1,A173,1,A191,A201,male,1
A14,15,A33,A42,2615,A64,A74,1,divorced/seperated/married,A101,2,A123,23,A143,A152,1,A173,1,A191,A201,female,1
A12,17,A33,A43,1923,A65,A74,3,divorced/seperated/married,A101,2,A122,29,A143,A152,1,A173,1,A191,A201,male,1
A11,32,A32,A43,542,A65,A75,3,single,A101,3,A123,46,A143,A151,1,A173,1,A191,A201,male,0
A14,30,A32,A43,815,A65,A75,3,single,A101,3,A123,35,A143,A152,2,A173,1,A191,A201,male,1
A14,8,A31,A40,1393,A61,A73,3,married/widowed,A102,3,A121,39,A143,A152,2,A172,1,A191,A201,male,1
A11,29,A32,A43,404,A63,A75,2,single,A101,3,A123,57,A143,A152,1,A172,1,A191,A201,male,1
A12,26,A34,A43,5055,A61,A71,2,single,A101,2,A123,38,A143,A152,2,A174,1,A191,A201,male,1
A14,8,A32,A42,1922,A61,A73,3,married/widowed,A101,2,A121,31,A143,A152,1,A172,1,A191,A201,female,1
A11,24,A34,A41,3937,A61,A74,2,single,A101,3,A124,37,A143,A153,2,A173,1,A191,A201,male,1
A11,24,A32,A42,1539,A65,A75,3,single,A101,2,A123,36,A143,A151,1,A173,1,A191,A201,male,0
A12,28,A34,A42,5107,A61,A72,2,single,A101,2,A121,35,A143,A153,2,A173,1,A191,A201,male,0
A14,6,A30,A40,1430,A61,A73,1,divorced/seperated/married,A103,3,A121,26,A143,A152,1,A172,1,A191,A201,female,1
A11,7,A32,A40,1557,A61,A73,3,divorced/seperated/married,A101,2,A121,24,A143,A152,1,A172,1,A191,A201,female,0
A12,31,A32,A46,12909,A61,A72,3,single,A103,1,A124,28,A143,A152,1,A173,1,A191,A201,male,0
A14,29,A32,A42,1758,A64,A74,1,divorced/seperated/married,A101,3,A123,24,A143,A152,1,A173,1,A191,A201,female,1
A12,17,A34,A43,2299,A61,A74,3,single,A101,1,A123,29,A143,A152,1,A173,1,A192,A201,male,0
A14,27,A32,A43,896,A65,A75,3,single,A101,3,A123,38,A143,A152,1,A173,1,A191,A201,male,1
A11,16,A32,A40,9564,A61,A72,3,divorced/seperated/married,A101,2,A122,24,A143,A152,1,A173,1,A191,A201,female,0
A12,16,A33,A42,2529,A65,A74,3,divorced/seperated/married,A101,2,A122,28,A143,A151,1,A173,1,A191,A201,female,1
A11,27,A32,A43,360,A63,A75,3,single,A101,3,A122,59,A143,A151,1,A172,1,A191,A201,male,1
A11,20,A32,A40,2181,A61,A74,3,divorced/seperated/married,A101,3,A122,26,A143,A151,1,A173,1,A191,A201,female,1
A11,10,A32,A40,3034,A61,A73,3,divorced/seperated/married,A101,2,A121,23,A143,A152,1,A173,1,A192,A201,female,1
A11,17,A32,A40,4477,A61,A72,3,divorced/seperated/married,A101,3,A122,23,A143,A151,1,A173,1,A191,A201,female,1
A11,11,A32,A43,1215,A61,A73,1,divorced/seperated/married,A103,3,A122,25,A143,A152,1,A173,1,A191,A201,female,1
A11,25,A32,A49,1397,A65,A75,3,single,A101,2,A123,36,A143,A151,1,A173,1,A191,A201,male,0
A12,27,A34,A41,6713,A61,A72,3,single,A101,1,A123,37,A143,A152,1,A173,1,A192,A201,male,0
A12,23,A34,A41,9734,A61,A75,2,single,A101,2,A123,47,A143,A152,1,A173,1,A192,A201,male,0
